Stations_ID;Stations_Name;Parameter;Von_Datum;Bis_Datum;Anzahl_Fehlwerte;Beschreibung;eor;                                                                                                              
3;Aachen;TMK;01.01.1915;31.12.1929;5479;;eor;                                                                                                                                                           
3;Aachen;TXK;01.01.1915;31.12.1929;5479;;eor;                                                                                                                                                           
3;Aachen;TNK;01.01.1915;31.12.1929;5479;;eor;                                                                                                                                                           
3;Aachen;TGK;01.09.1944;07.11.1945;433;Kriegsjahre;eor;                                                                                                                                                 
3;Aachen;PM;01.01.1905;31.12.1930;9496;;eor;                                                                                                                                                            
3;Aachen;FM;01.06.1939;31.12.1939;214;;eor;                                                                                                                                                             
3;Aachen;FM;01.09.1940;30.09.1940;30;Kriegsjahre;eor;                                                                                                                                                   
3;Aachen;FM;01.01.1941;31.12.1950;3652;;eor;                                                                                                                                                            
3;Aachen;FM;01.02.1961;28.02.1961;28;;eor;                                                                                                                                                              
3;Aachen;FM;07.06.1993;09.06.1993;3;;eor;                                                                                                                                                               
3;Aachen;FM;10.06.1998;14.06.1998;5;;eor;                                                                                                                                                               
3;Aachen;FM;02.10.2001;02.10.2001;1;;eor;                                                                                                                                                               
3;Aachen;FM;21.11.2001;26.11.2001;6;;eor;                                                                                                                                                               
3;Aachen;FM;15.01.2002;16.01.2002;2;;eor;                                                                                                                                                               
3;Aachen;FM;01.06.2002;04.06.2002;4;;eor;                                                                                                                                                               
3;Aachen;FM;25.01.2005;25.01.2005;1;;eor;                                                                                                                                                               
3;Aachen;FM;28.11.2006;29.11.2006;2;;eor;                                                                                                                                                               
3;Aachen;FM;19.02.2008;21.02.2008;3;;eor;                                                                                                                                                               
3;Aachen;FM;05.05.2008;08.05.2008;4;;eor;                                                                                                                                                               
3;Aachen;FM;07.10.2008;08.10.2008;2;;eor;                                                                                                                                                               
3;Aachen;FX;01.02.1961;28.02.1961;28;;eor;                                                                                                                                                              
3;Aachen;FX;24.07.1989;24.07.1989;1;;eor;                                                                                                                                                               
3;Aachen;FX;07.06.1993;08.06.1993;2;;eor;                                                                                                                                                               
3;Aachen;FX;10.06.1998;14.06.1998;5;;eor;                                                                                                                                                               
3;Aachen;FX;14.06.1999;15.06.1999;2;;eor;                                                                                                                                                               
3;Aachen;FX;08.09.1999;08.09.1999;1;;eor;                                                                                                                                                               
3;Aachen;FX;01.08.2001;01.08.2001;1;;eor;                                                                                                                                                               
3;Aachen;FX;02.10.2001;03.10.2001;2;;eor;                                                                                                                                                               
3;Aachen;FX;21.11.2001;26.11.2001;6;;eor;                                                                                                                                                               
3;Aachen;FX;19.12.2001;19.12.2001;1;;eor;                                                                                                                                                               
3;Aachen;FX;15.01.2002;16.01.2002;2;;eor;                                                                                                                                                               
3;Aachen;FX;01.06.2002;05.06.2002;5;;eor;                                                                                                                                                               
3;Aachen;FX;18.11.2002;18.11.2002;1;;eor;                                                                                                                                                               
3;Aachen;FX;25.06.2003;25.06.2003;1;;eor;                                                                                                                                                               
3;Aachen;UPM;01.01.1915;31.12.1929;5479;;eor;                                                                                                                                                           
3;Aachen;UPM;01.09.1944;31.03.1945;212;Kriegsjahre;eor;                                                                                                                                                 
3;Aachen;VPM;01.01.1915;31.12.1929;5479;;eor;                                                                                                                                                           
3;Aachen;VPM;18.11.1932;18.11.1932;1;;eor;                                                                                                                                                              
3;Aachen;VPM;01.09.1944;31.03.1945;212;Kriegsjahre;eor;                                                                                                                                                 
3;Aachen;VPM;09.05.1945;13.05.1945;5;Kriegsjahre;eor;                                                                                                                                                   
3;Aachen;NM;01.01.1915;31.12.1929;5479;;eor;                                                                                                                                                            
3;Aachen;SDK;01.09.1944;30.11.1945;456;Kriegsjahre;eor;                                                                                                                                                 
3;Aachen;SDK;01.05.1947;31.05.1947;31;;eor;                                                                                                                                                             
3;Aachen;SDK;01.07.1947;30.09.1947;92;;eor;                                                                                                                                                             
3;Aachen;SDK;12.07.1995;12.07.1995;1;;eor;                                                                                                                                                              
3;Aachen;SDK;07.03.1997;07.03.1997;1;;eor;                                                                                                                                                              
3;Aachen;RSK;01.01.1915;31.12.1929;5479;;eor;                                                                                                                                                           
3;Aachen;RSK;01.01.1945;30.03.1945;89;Kriegsjahre;eor;                                                                                                                                                  
3;Aachen;RSKF;01.01.1915;31.12.1929;5479;;eor;                                                                                                                                                          
3;Aachen;RSKF;01.01.1945;30.03.1945;89;Kriegsjahre;eor;                                                                                                                                                 
3;Aachen;SHK_TAG;17.01.1892;14.02.1892;29;;eor;                                                                                                                                                         
3;Aachen;SHK_TAG;20.02.1892;04.12.1892;289;;eor;                                                                                                                                                        
3;Aachen;SHK_TAG;12.12.1892;31.12.1892;20;;eor;                                                                                                                                                         
3;Aachen;SHK_TAG;08.01.1893;13.01.1893;6;;eor;                                                                                                                                                          
3;Aachen;SHK_TAG;25.01.1893;22.11.1893;302;;eor;                                                                                                                                                        
3;Aachen;SHK_TAG;24.11.1893;31.12.1893;38;;eor;                                                                                                                                                         
3;Aachen;SHK_TAG;02.01.1894;02.01.1894;1;;eor;                                                                                                                                                          
3;Aachen;SHK_TAG;05.01.1894;16.02.1894;43;;eor;                                                                                                                                                         
3;Aachen;SHK_TAG;18.02.1894;23.02.1894;6;;eor;                                                                                                                                                          
3;Aachen;SHK_TAG;25.02.1894;30.12.1894;309;;eor;                                                                                                                                                        
3;Aachen;SHK_TAG;18.01.1895;21.01.1895;4;;eor;                                                                                                                                                          
3;Aachen;SHK_TAG;15.03.1895;07.12.1895;268;;eor;                                                                                                                                                        
3;Aachen;SHK_TAG;10.12.1895;12.12.1895;3;;eor;                                                                                                                                                          
3;Aachen;SHK_TAG;14.12.1895;19.12.1895;6;;eor;                                                                                                                                                          
3;Aachen;SHK_TAG;31.12.1895;11.01.1896;12;;eor;                                                                                                                                                         
3;Aachen;SHK_TAG;13.01.1896;14.12.1896;337;;eor;                                                                                                                                                        
3;Aachen;SHK_TAG;29.12.1896;22.01.1897;25;;eor;                                                                                                                                                         
3;Aachen;SHK_TAG;06.02.1897;07.02.1897;2;;eor;                                                                                                                                                          
3;Aachen;SHK_TAG;10.02.1897;07.03.1897;26;;eor;                                                                                                                                                         
3;Aachen;SHK_TAG;10.03.1897;13.03.1897;4;;eor;                                                                                                                                                          
3;Aachen;SHK_TAG;15.03.1897;13.11.1897;244;;eor;                                                                                                                                                        
3;Aachen;SHK_TAG;15.11.1897;04.02.1898;82;;eor;                                                                                                                                                         
3;Aachen;SHK_TAG;07.02.1898;23.02.1898;17;;eor;                                                                                                                                                         
